MATRICULA;COD_SETOR;COD_CARGO;NIVEL_CARGO;COD STATUS;DATA_INGRESSO;DATA FIM;SALARIO_BASE;ADICIONAIS;ISE 2020;AV DESEMPENHO 2020
8412728599;3;22;2;1;20/04/2011;;12348,96;458;6;5
8361090999;1;2;1;4;24/12/2014;23/02/2021;10702,65;0;9;9
8502558799;3;22;1;1;02/03/2015;;11800,12;563,79;9;9
7381428699;1;2;1;1;02/06/2014;;4861,61;1207,35;9;8
8051443899;3;22;1;1;09/12/2019;;9616,18;458;9;4
8020608299;3;22;2;1;20/02/2018;;7718,1;458;3;8
7281150999;4;25;2;1;27/03/2019;;6859,94;458;6;3
8491176399;3;22;1;1;27/03/2015;;7803,45;458;7;6
7341462599;1;5;2;1;09/05/2016;;7994,33;1102,02;7;4
8371403999;1;4;2;1;25/10/2017;;6333,6;1100;7;7
7241399499;3;22;1;5;01/09/2016;13/01/2018;12442,76;120,1;;
7390673199;4;25;1;1;01/12/2015;;6580,61;458;3;8
7631838299;3;22;2;5;02/01/2019;05/04/2020;3200;0;;
8490938399;1;2;1;1;10/07/2014;;3078,37;502,35;7;8
8631105299;3;22;2;1;17/10/2019;;9616,18;458;8;4
7370768899;3;22;2;1;17/11/2015;;11800,12;458;8;8
7792118699;3;22;2;1;23/02/2018;;11800,12;568,73;9;9
8620595399;3;22;1;1;07/04/2021;;11800,12;458;6;3
7552398999;3;22;2;1;25/09/2017;;11800,12;889,73;9;9
8020975199;1;4;1;1;21/02/2020;;7994,33;563,79;6;3
7280921999;3;22;1;1;08/01/2018;;11800,12;779;9;9
8542784099;5;33;2;1;12/01/2018;;2851,61;1334,08;7;5
8451464999;3;22;1;1;06/09/2016;;11800,12;458;6;2
7252457099;3;22;2;1;28/01/2016;;11800,12;458;6;4
7910806099;3;22;1;1;28/09/2020;;9616,18;458;6;3
7370892499;3;22;1;1;30/06/2021;;7803,45;779;5;3
10040001799;1;1;1;1;19/11/2020;;5434,85;585,66;6;3
8111217999;3;22;2;1;28/07/2017;;11800,12;568,73;8;6
7991440699;3;22;2;1;03/03/2017;;11800,12;1639,48;5;3
8460717099;3;22;2;1;16/08/2019;;9616,18;458;8;7
7852283999;3;22;2;1;02/10/2019;;9616,18;458;7;4
8542720299;1;1;2;1;18/11/2019;;5867,05;803,6;6;7
7680825499;3;22;1;1;28/09/2017;;11800,12;669,58;5;4
8521917199;1;5;1;1;25/03/2011;;7380,95;569,43;6;2
8080839099;3;22;2;1;18/03/2014;;8232,64;990,58;9;9
8010673799;3;22;1;1;01/08/2016;;11800,12;669,58;4;4
8570800599;3;22;2;4;22/07/2016;09/06/2019;5383,52;0;;
8172696999;3;22;3;1;19/11/2013;;4322,13;701,54;7;5
7542712699;3;22;3;1;11/02/2014;;4322,13;229;8;8
7732798799;1;2;2;1;09/09/2013;;4153,96;668,18;9;8
8132558199;3;22;3;2;17/03/2017;25/01/2021;11800,12;458;4;9
7202438399;3;22;2;1;24/07/2019;;10063,44;563,79;8;9
7430985299;2;12;2;3;21/05/2013;28/07/2021;8988;0;6;6
7950876099;3;22;1;1;23/07/2019;;9616,18;568,73;6;5
7541012699;3;22;1;2;11/12/1990;22/07/2018;12272,12;0;;
7941909099;3;22;2;1;06/02/2017;;12348,96;568,73;6;6
7651293899;4;25;2;1;01/08/2014;;8306,11;458;8;6
8612120399;3;22;2;1;16/05/2016;;7803,45;895,38;9;8
7760552199;3;22;2;1;20/07/2020;;9616,18;458;6;3
7462253499;1;4;3;1;23/12/2009;;9316,32;568,73;8;9
9880007099;3;22;1;1;27/11/2020;;9616,18;458;6;3
8202628199;3;22;2;1;30/08/2019;;9616,18;458;3;7
7361834999;1;1;3;1;25/08/2014;;7103,91;1100;8;6
8181099399;1;1;1;1;22/07/2019;;6189;587;9;5
8000904599;3;22;2;1;19/08/2010;;12074,54;579,14;7;5
8480852499;3;22;1;1;06/05/2020;;9616,18;458;6;3
7561904899;3;22;1;1;17/01/2019;;9616,18;458;6;3
7551778199;3;22;2;1;05/06/2019;;11800,12;568,73;8;4
7902358499;1;1;1;1;29/12/2009;;9316,32;574,38;8;7
7692620399;4;25;1;1;12/07/2018;;6095,86;994,02;3;7
7960970899;3;22;2;1;13/06/2016;;11800,12;568,73;6;3
8410914399;1;1;1;1;31/12/2009;;9316,32;584,31;8;9
8231274899;3;22;2;1;27/06/2011;;8232,64;788,5;5;5
7522597999;1;4;1;1;10/06/2016;;8601,52;458;8;5
8290735799;1;1;3;1;16/10/2009;;7967,9;889,64;7;8
7241867399;1;1;2;1;05/06/2013;;7103,91;569,43;9;5
7852658599;3;20;1;1;06/04/2017;;6333,6;569,43;7;9
7211820199;3;22;2;1;01/08/2018;;11800,12;563,79;6;4
7900692099;3;22;1;1;09/12/2016;;11800,12;889,73;8;9
8211577899;1;8;2;1;27/07/2018;;3704,84;458;3;8
8572608799;1;1;2;1;17/08/2015;;6837,25;1542,21;7;5
8361578999;3;22;2;1;10/03/2017;;7539,73;1005,95;8;9
7991138399;3;22;2;1;21/06/2019;;9616,18;568,73;3;8
8392614599;1;1;3;2;06/03/2006;04/05/2021;11800,12;669;5;2
7622634699;3;22;3;1;27/02/2013;;11800,12;779;9;5
7730879799;1;2;2;1;25/08/2014;;4861,61;728,5;5;5
8560944799;1;2;2;1;19/01/2009;;5665,55;815,59;9;6
7452142399;1;2;2;1;01/04/1981;;27630,11;582,33;3;9
7620913799;2;12;3;1;15/01/2013;;7948,71;1113,32;7;5
8260722399;3;22;2;1;28/08/2018;;9616,18;657,2;5;4
7780658999;3;20;1;1;07/06/2010;;9316,32;568,73;6;3
8591619499;3;22;1;1;13/08/2013;;8232,64;690,76;6;6
7750577499;3;22;1;1;24/03/2017;;12348,96;458;8;7
8001095999;1;1;2;1;09/05/2005;;8936,98;692,31;9;9
8182169299;3;22;1;1;04/12/2020;;9616,18;458;6;3
9750005499;2;12;2;1;01/10/2020;;5434,85;575,07;6;3
8041165999;3;22;1;5;07/01/2016;15/05/2021;3387,5;730,4;8;8
11730010199;3;22;2;1;30/06/2021;;9616,18;458;6;3
12920010599;3;22;1;1;26/07/2021;;6090,24;270,64;6;3
7741426599;3;22;2;1;02/10/2017;;14383,39;535,25;7;8
8392803599;1;1;2;1;01/04/2016;;6837,25;1650,14;9;9
7742600499;1;1;1;1;16/08/2009;;9316,32;458;7;5
7971068999;1;2;2;1;12/08/2008;;5665,55;483,19;6;2
7240660399;1;2;2;1;27/01/2010;;4484,28;829,69;6;7
7871786899;3;22;2;1;28/07/2017;;11800,12;674,52;6;5
7311035999;3;22;1;1;22/03/2019;;9616,18;574,38;4;6
8532135199;3;22;2;1;01/11/2016;;12348,96;568,73;9;6
7881881099;3;22;3;1;12/09/2013;;11800,12;568,73;7;8
7311313099;1;1;2;1;26/10/2020;;5434,85;458;5;3
7672370499;3;22;1;1;01/06/2021;;9616,18;458;5;3
7892201399;1;2;1;1;14/08/2012;;3181,13;758,15;6;6
7601349399;3;22;1;1;22/03/2021;;11800,12;458;6;3
8621825299;3;22;1;1;27/11/2013;;11800,12;458;6;3
7390946599;3;22;2;1;05/06/2019;;11800,12;1092,14;6;3
7812729299;3;22;1;1;13/07/2021;;11800,12;458;6;3
7201643399;1;1;2;1;22/03/2016;;7108,08;1341,56;6;3
7860773499;3;22;1;2;27/11/2017;24/05/2021;18663,64;0;5;2
8362431799;3;22;1;1;21/12/2020;;9616,18;458;6;3
7580820199;3;22;1;1;31/10/2017;;11800,12;568,73;7;6
8241967099;3;22;1;1;20/10/2020;;9616,18;669,58;6;3
7652105599;1;4;2;1;06/01/2020;;6837,25;574,38;6;3
7430680299;1;1;2;1;29/01/2010;;7967,9;568,73;8;4
8620646299;3;22;2;1;26/06/2017;;11800,12;458;6;5
8401014599;3;22;1;1;24/01/2017;;11800,12;568,73;9;9
7412338899;3;22;2;1;30/01/2018;;11800,12;458;5;2
7562695699;1;1;1;1;10/01/2020;;6333,6;569,43;6;3
7281157399;3;22;1;1;13/10/2015;;7803,45;1203,58;7;4
7421550399;1;2;1;1;31/12/2009;;4663,65;1259,21;9;7
8451109499;2;12;2;1;30/10/2018;;6859,94;629,02;7;8
7721010299;3;22;2;1;06/11/2020;;9616,18;458;6;3
8020603599;2;12;3;1;28/07/2008;;11144,35;781,02;6;3
7541611699;3;22;2;1;28/08/2019;;9616,18;458;8;4
7231217499;1;4;1;1;28/07/2008;;8278,66;568,73;9;6
7212217499;3;22;2;1;05/10/2017;;12348,96;574,38;7;6
7512770599;1;2;1;1;27/06/2014;;4157,95;632,88;7;9
8322782799;1;2;1;1;12/08/2014;;3078,37;856,48;6;6
7591343499;3;22;2;1;25/07/2016;;11800,12;458;9;9
8220548199;4;25;1;1;30/12/2020;;4180,66;1007,5;5;3
8491886399;3;22;1;2;16/02/2018;18/11/2019;12213,675;904,36;;
7372225699;1;1;1;1;30/03/2016;;5677,66;569,43;6;5
7280943699;3;20;2;1;02/10/2018;;5867,05;771,8;9;8
7440773699;1;2;2;1;29/12/2008;;5665,55;700,77;10;8
